,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Gapfiller,Synch,Cole Tau,Cole M,Cole rms
,Dipole Dipole,0.00,5.00,10.00,15.00,148.65,0.02,0.18,-55.97,-1197.453,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.48,0.37,0.28,0.17,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.37,270,205,0.4,00.000000,00.000000,.TTTTTT,1,0,11.85,11.87,46.5,21/10/2017 4:30:18 PM,0,1,0.0,0.00,0.0
,Dipole Dipole,0.00,5.00,15.00,20.00,187.17,0.06,0.29,33.90,-376.934,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.76,0.57,0.42,0.24,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.40,270,205,0.4,00.000000,00.000000,.TTTTTT,2,0,11.85,11.87,46.5,21/10/2017 4:30:19 PM,0,0,0.0,0.00,0.0
,Dipole Dipole,0.00,5.00,20.00,25.00,281.75,0.18,0.64,-5.95,-226.964,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.80,1.37,0.98,0.60,0.38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.55,270,205,0.4,00.000000,00.000000,.TTTTTT,3,0,11.85,11.87,46.5,21/10/2017 4:30:19 PM,0,0,0.0,0.00,0.0
,Dipole Dipole,0.00,5.00,25.00,30.00,320.11,0.70,1.77,-18.68,-128.935,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.55,3.57,2.72,1.80,1.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.67,270,205,0.4,00.000000,00.000000,.TTTTTT,4,0,11.85,11.87,46.5,21/10/2017 4:30:19 PM,0,0,0.0,0.00,0.0
,Dipole Dipole,0.00,5.00,30.00,35.00,370.25,1.18,1.28,44.52,-85.217,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.42,2.33,1.83,1.26,0.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.57,270,205,0.4,00.000000,00.000000,.TTTTTT,5,0,11.85,11.87,46.5,21/10/2017 4:30:19 PM,0,0,0.0,0.00,0.0
,Dipole Dipole,0.00,5.00,35.00,40.00,290.54,1.33,1.43,-88.67,-41.794,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.91,1.86,2.03,1.13,1.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.56,270,205,0.4,00.000000,00.000000,.TTTTTT,6,0,11.85,11.87,46.5,21/10/2017 4:30:19 PM,0,0,0.0,0.00,0.0
,Dipole Dipole,0.00,5.00,40.00,45.00,302.04,1.32,1.20,-43.99,-28.966,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.51,4.07,2.77,0.95,0.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.44,270,205,0.4,00.000000,00.000000,.TTTTTT,7,0,11.85,11.87,46.5,21/10/2017 4:30:19 PM,0,0,0.0,0.00,0.0
,Dipole Dipole,0.00,5.00,45.00,50.00,239.81,3.51,4.81,47.79,-16.098,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.91,7.44,5.94,4.14,4.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.43,270,205,0.4,00.000000,00.000000,.TTTTTT,8,0,11.85,11.87,46.5,21/10/2017 4:30:19 PM,0,0,0.0,0.00,0.0
,Dipole Dipole,0.00,5.00,50.00,55.00,238.30,12.59,16.38,57.17,-11.634,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,32.84,26.37,23.43,15.84,12.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.80,270,205,0.4,00.000000,00.000000,.TTTTTT,9,0,11.85,11.87,46.5,21/10/2017 4:30:19 PM,0,0,0.0,0.00,0.0
,Dipole Dipole,0.00,5.00,55.00,60.00,217.04,28.41,-19.18,-93.09,-7.947,759.222,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-30.15,-27.65,-22.95,-22.23,-14.69,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,160,120,220,420,820,1620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.91,270,205,0.4,00.000000,00.000000,.TTTTTT,10,0,11.85,11.87,46.5,21/10/2017 4:30:19 PM,0,0,0.0,0.00,0.0
